(89,222)
(90,221)
(95,220)
(107,217)
(115,217)
(123,217)
(129,216)
(138,214)
(151,207)
(159,203)
(160,198)
(159,196)
(158,187)
(156,184)
(152,183)
(150,178)
(146,177)
(132,174)
(119,173)
(112,173)
(104,177)
(90,177)
(83,179)
(76,182)
(70,186)
(66,192)
(62,196)
(56,206)
(55,212)
(55,221)
(56,225)
(55,228)
(59,236)
(60,241)
(60,245)
(62,248)
(67,254)
(70,258)
(74,262)
(82,263)
(88,267)
(95,269)
(103,267)
(111,272)
(116,268)
(121,269)
(125,268)
(134,266)
(137,263)
(140,261)
(145,259)
(146,256)
(150,256)
(157,250)
(159,255)
(162,252)
(163,249)
(164,250)
(165,252)
(167,249)
(170,251)
(177,247)
(178,248)
(182,248)
(188,248)
(189,247)
(190,247)
(194,245)
(196,246)
(197,243)
(191,238)
(191,235)
(193,235)
(197,230)
(199,226)
