(2,301)
(10,297)
(20,292)
(30,288)
(42,281)
(55,276)
(68,271)
(80,264)
(93,260)
(106,254)
(117,245)
(126,238)
(134,229)
(139,220)
(144,209)
(148,198)
(148,187)
(149,177)
(145,166)
(140,159)
(134,151)
(128,149)
(118,150)
(107,155)
(95,164)
(80,174)
(65,185)
(51,199)
(40,212)
(31,224)
(25,235)
(23,245)
(24,256)
(28,266)
(33,276)
(40,287)
(47,293)
(54,296)
(63,296)
(72,291)
(82,280)
(90,271)
(98,261)
(105,250)
(109,238)
(116,225)
(124,208)
(131,191)
(138,175)
(144,155)
(150,133)
(152,114)
(154,94)
(157,71)
(159,51)
(156,31)
(151,12)
(104,8)
(104,22)
(106,36)
(108,53)
(110,68)
(110,86)
(112,105)
(114,122)
(113,141)
(114,159)
(114,178)
(114,198)
(112,217)
(113,235)
(113,251)
(117,268)
(121,278)
(128,288)
(135,298)
(143,300)
(156,305)
(163,310)
(172,315)
(185,313)
