(148,184)
(137,181)
(127,180)
(115,176)
(103,174)
(92,170)
(83,169)
(73,168)
(64,169)
(56,169)
(49,173)
(42,179)
(35,188)
(30,200)
(24,215)
(22,231)
(21,247)
(21,262)
(21,276)
(22,290)
(24,302)
(25,313)
(27,324)
(28,334)
(31,343)
(35,351)
(37,355)
(39,357)
(41,357)
(44,356)
(47,349)
(50,343)
(54,336)
(57,328)
(60,321)
(64,314)
(67,308)
(70,301)
(73,292)
(76,284)
(79,276)
(82,268)
(84,257)
(87,248)
(90,239)
(94,229)
(98,218)
(104,208)
(109,198)
(115,190)
(120,181)
(125,175)
(128,173)
(130,175)
(132,178)
(133,180)
(133,194)
(133,203)
(132,216)
(131,227)
(129,240)
(128,253)
(127,264)
(125,275)
(124,283)
(124,293)
(123,303)
(122,315)
(121,325)
(120,333)
(119,342)
(120,349)
(123,353)
(125,354)
(128,355)
(131,355)
(137,349)
(143,343)
(149,336)
(155,325)
(162,317)
(168,306)
(176,295)
(183,284)
(191,273)
