(60,158)
(58,160)
(55,162)
(55,162)
(57,161)
(60,161)
(71,161)
(79,166)
(83,171)
(87,172)
(87,178)
(91,186)
(93,191)
(94,201)
(99,208)
(100,215)
(101,222)
(107,231)
(104,233)
(110,238)
(107,241)
(109,246)
(107,251)
(108,241)
(108,229)
(107,225)
(107,220)
(106,209)
(105,201)
(103,196)
(101,189)
(99,177)
(97,173)
(96,161)
(97,158)
(100,153)
(106,147)
(108,148)
(113,149)
(124,143)
(129,146)
(134,145)
(144,144)
(148,148)
(154,146)
(154,143)
(160,147)
(163,145)
(169,145)
(168,147)
(170,147)
(168,146)
(169,145)
(170,141)
