(2,198)
(4,198)
(6,197)
(6,196)
(10,195)
(12,193)
(14,192)
(17,191)
(19,187)
(23,184)
(26,180)
(29,177)
(31,174)
(34,172)
(36,169)
(39,167)
(42,164)
(45,162)
(47,159)
(50,153)
(53,150)
(57,145)
(61,141)
(65,137)
(69,134)
(72,132)
(75,130)
(78,129)
(80,128)
(83,127)
(87,126)
(90,125)
(92,126)
(95,128)
(95,132)
(95,132)
(86,153)
(81,170)
(78,184)
(75,199)
(71,217)
(67,235)
(63,252)
(61,270)
(60,288)
(62,303)
(60,320)
(63,335)
(59,348)
(60,360)
(63,367)
(63,368)
(63,363)
(69,357)
(72,347)
(76,334)
(82,317)
(92,299)
(100,282)
(107,265)
(114,246)
(125,234)
(134,221)
(144,212)
(153,208)
(160,207)
(166,208)
(171,212)
(176,220)
(179,228)
(183,241)
(185,252)
(186,266)
(186,282)
(184,297)
(184,317)
(176,335)
(172,347)
(163,361)
(154,373)
(149,385)
(138,395)
(130,406)
(117,407)
(110,410)
(102,407)
(97,402)
(93,396)
(90,392)
(89,383)
(86,375)
(87,369)
(86,363)
(92,356)
(96,355)
(104,347)
(113,344)
(122,341)
(134,337)
(145,331)
(156,328)
(167,325)
(179,321)
(192,315)
